Year,Less than 35,35-44,45-54,55-64,65-74,75 or older
1989,17.1,10.9,7.3,4.1,0.9,0
1992,24.3,12.7,5.3,3,2,0
1995,24.4,13,11.3,4,1.4,1.7
1998,23.3,12.9,10.2,5.6,1.7,0.1
2001,26,11.9,10.7,5.2,0.6,0.1
2004,28.3,14.5,12.6,8.7,0.8,1
2007,33.6,14.7,14.5,10.6,1.7,0.3
2010,40,26.2,17.5,9.3,4,1.2
2013,41.4,28.6,18.4,12,3.1,1
2016,44.8,34.3,23.7,12.9,3.4,1.1
2019,41.4,33.7,23.3,12.2,4.2,1.8
2022,40.1,34.1,26.4,12.9,5.2,2.7
